source,target,value
 100;108(1),NoHCC(2),6
 100;96(1),NoHCC(2),11
 107;85(1),NoHCC(2),10
 108;111(1),NoHCC(2),12
 108;84(1),NoHCC(2),8
 108;85(1),NoHCC(2),20
 108;96(1),NoHCC(2),13
 111;85(1),NoHCC(2),7
 111;9(1),NoHCC(2),9
 122;18(1),NoHCC(2),6
 170;23(1),NoHCC(2),9
 23;96(1),NoHCC(2),10
 84;85(1),NoHCC(2),11
 84;85;96(1),NoHCC(2),14
 84;96(1),NoHCC(2),15
 85;87(1),NoHCC(2),8
 85;96(1),NoHCC(2),36
10(1),10(2),9
10(1),NoHCC(2),96
100(1),NoHCC(2),107
106(1),NoHCC(2),22
107(1),NoHCC(2),35
108(1),NoHCC(2),251
11(1),NoHCC(2),112
111(1),NoHCC(2),105
112(1),NoHCC(2),106
12(1),NoHCC(2),269
124(1),NoHCC(2),20
134(1),NoHCC(2),13
135(1),NoHCC(2),19
136(1),NoHCC(2),69
161(1),NoHCC(2),16
169(1),NoHCC(2),22
170(1),NoHCC(2),33
176(1),NoHCC(2),32
18(1),NoHCC(2),33
186(1),NoHCC(2),47
188(1),NoHCC(2),11
19(1),NoHCC(2),85
2(1),NoHCC(2),9
22(1),NoHCC(2),9
23(1),NoHCC(2),166
27(1),NoHCC(2),21
28(1),NoHCC(2),27
29(1),NoHCC(2),10
33(1),NoHCC(2),34
34(1),NoHCC(2),6
35(1),NoHCC(2),8
39(1),NoHCC(2),13
40(1),NoHCC(2),24
46(1),NoHCC(2),25
48(1),NoHCC(2),9
57(1),NoHCC(2),13
58(1),NoHCC(2),24
72(1),NoHCC(2),10
73(1),NoHCC(2),24
75(1),NoHCC(2),10
77(1),NoHCC(2),8
78(1),NoHCC(2),63
79(1),NoHCC(2),39
8(1),NoHCC(2),47
80(1),NoHCC(2),6
84(1),NoHCC(2),46
85(1),NoHCC(2),128
86(1),NoHCC(2),11
87(1),NoHCC(2),38
88(1),NoHCC(2),17
9(1),9(2),6
9(1),NoHCC(2),167
96(1),NoHCC(2),306
99(1),NoHCC(2),40
NoHCC(1),10(2),49
NoHCC(1),100(2),8
NoHCC(1),108(2),28
NoHCC(1),11(2),13
NoHCC(1),111(2),18
NoHCC(1),112(2),11
NoHCC(1),12(2),47
NoHCC(1),167(2),6
NoHCC(1),169(2),13
NoHCC(1),23(2),17
NoHCC(1),40(2),9
NoHCC(1),57(2),6
NoHCC(1),73(2),7
NoHCC(1),77(2),10
NoHCC(1),78(2),127
NoHCC(1),79(2),24
NoHCC(1),9(2),14
NoHCC(1),NoHCC(2),126
10(2),10(3),11
10(2),NoHCC(3),56
100(2),NoHCC(3),9
108(2),NoHCC(3),34
11(2),NoHCC(3),17
111(2),NoHCC(3),20
112(2),NoHCC(3),12
12(2),NoHCC(3),46
167(2),NoHCC(3),6
169(2),NoHCC(3),13
23(2),NoHCC(3),17
28(2),NoHCC(3),6
40(2),NoHCC(3),9
57(2),NoHCC(3),6
58(2),NoHCC(3),7
72(2),NoHCC(3),7
73(2),NoHCC(3),7
77(2),NoHCC(3),12
78(2),NoHCC(3),129
79(2),NoHCC(3),24
8(2),NoHCC(3),8
9(2),9(3),6
9(2),NoHCC(3),17
NoHCC(2),10(3),28
NoHCC(2),108(3),24
NoHCC(2),111(3),9
NoHCC(2),112(3),11
NoHCC(2),12(3),12
NoHCC(2),72(3),6
NoHCC(2),NoHCC(3),3819
